,"Cultivo_de_cereales,_oleaginosas_y_forrajeras","Cultivo_de_hortalizas,_legumbres,_flores_y_plantas_ornamentales",Cultivo_de_frutas_y_nueces,Cultivos_industriales,Produccion_de_semillas,"Cria_de_ganado_y_produccion_de_leche,_lana_y_pelos",Produccion_de_granja,Servicios_agropecuarios,Caza,Silvicultura_y_extraccion_de_madera,Pesca,"Extraccion_de_petroleo,_gas,_carbon_y_uranio",Extraccion_de_minerales_metaliferos,Extraccion_de_otros_minerales,"Matanza_de_animales,_conservacion_y_procesamiento_de_carnes",Elaboracion_y_conservacion_de_pescado_y_productos_de_pescado,"Elaboracion_y_conservacion_de_frutas,_legumbres_y_hortalizas",Aceites_y_subproductos_oleaginosos,Productos_lacteos,Molienda_de_trigo_y_de_otros_cereales,Alimentos_balanceados,Productos_de_panaderia,Azucar,"Cacao,_chocolate_y_productos_de_confiteria",Pastas_alimenticias,Otros_productos_alimenticios,Bebidas_alcoholicas,Produccion_vitivinicola,Cerveza_y_malta,"Gaseosas,_agua_mineral_y_otras_bebidas_no_alcoholicas",Productos_de_tabaco,"Fibras,_hilados_y_tejeduria_de_productos_textiles",Acabado_de_productos_textiles,Fabricacion_de_productos_textiles,Tejidos_de_punto,"Prendas_de_vestir,_terminacion_y_tenido_de_pieles",Curtido_y_terminacion_de_cueros,Marroquineria_y_talabarteria,Calzado_y_sus_partes,Aserraderos,Madera_y_sus_productos,Celulosa_y_papel,Papel_y_carton_ondulado_y_envases_de_papel_y_carton,Productos_de_papel_y_carton,"Edicion_de_libros,_folletos,_grabaciones_y_otras_ediciones",Edicion_de_periodicos_y_revistas,Impresiones_y_reproduccion_de_grabaciones,Refinacion_de_petroleo,Quimica_basica,Fertilizantes_y_plaguicidas,Materias_primas_plasticas_y_caucho_sintetico,Pinturas_y_barnices,Productos_medicinales,"Jabones,_detergentes_y_cosmeticos",Otros_productos_quimicos,Fibras_sinteticas_manufacturadas,"Cubiertas,_camaras_y_recauchutado_de_cubiertas",Productos_de_caucho,Productos_de_plastico,Vidrio_y_productos_de_vidrio,Productos_de_ceramica_refractaria_y_no_refractaria_para_uso_no_estructural,Arcilla_y_ceramica_no_refractaria_para_uso_estructural,"Cemento,_cal_y_yeso","Articulos_de_hormigon,_cemento_y_yeso",Industrias_basicas_de_hierro_y_acero,Metalurgia_de_no_ferrosos,Fundicion_de_metales,"Estructuras_metalicas,_tanques,_depositos_y_generadores_de_vapor","Forja,_laminado_y_tratamiento_de_metales",Articulos_de_cuchilleria_y_ferreteria_y_herramientas_de_mano,Otros_productos_metalicos,"Motores,_turbinas,_bombas_y_compresores","Engranajes,_hornos,_elevadores_y_otras_maquinarias_de_uso_general",Tractores_y_maquinaria_agricola,Otra_maquinaria_de_uso_especial,Aparatos_de_uso_domestico,Maquinas_de_oficina_e_informatica,"Motores,_generadores_y_transformadores_electricos",Aparatos_de_control_y_distribucion_de_energia_electrica,Hilos_y_cables_aislados,Acumuladores_y_pilas,Lamparas_electricas_y_equipos_de_iluminacion,"Tubos_y_transmisores_de_radio,_TV_y_telefonia",Receptores_de_radio_y_TV,"Instrumentos_medicos,_opticos_y_de_precision_y_relojes",Vehiculos_automotores,Carrocerias_y_remolques,Autopartes,"Buques,_locomotoras_y_aeronaves","Motocicletas,_bicicletas_y_otros_tipos_de_transportes",Muebles_y_colchones,Otras_industrias_manufactureras,Electricidad,Gas,Agua,Construccion,Comercio_mayorista,Comercio_minorista,Hoteles,Restaurantes,Transporte_terrestre_de_pasajeros,Transporte_terrestre_de_carga,Transporte_por_tuberias,Transporte_maritimo,Transporte_aereo,Actividades_de_transporte_complementarias,Correos,Telecomunicaciones,Instituciones_Financieras,Seguros,Servicios_a_las_empresas_y_profesionales,Actividades_inmobiliarias,Administracion_publica_y_defensa_y_planes_de_la_seguridad_social_de_afiliacion_obligatoria,Ensenanza_publica,Ensenanza_privada,Salud_humana_publica,Salud_humana_privada,Servicios_veterinarios,Servicios_sociales,Servicios_de_saneamiento,Actividad_de_asociaciones,"Servicios_de_cine,_radio_y_television","Servicios_personales,_de_reparacion,_actividades_deportivas_y_de_esparcimiento",Servicio_domestico,DEMANDA_INTERMEDIA,BIENES,SERVICIOS,X,C_HOG,T_HOG,SUBTOTAL_HOGARES,C_ONG,C_GOB,C_TOT,IBIF,VARSTOCK,I_TOT,DF_TOT,D_TOT,CIFFOB,D_TOTAJU
Pesca,0,0,0,0,0,0,45.21960885,0,0,0,25609.23599,0,0,0,0,219785.2979,0,0,0,0,122.3682582,0,0,0,0,6.656788296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.093608,0,0,0,0,122.0444382,0,0,166.2154774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.14740958,192.800782,0,0,0,0,0,0,0,0,0,0,0,0,0,24.99516963,13.45893749,0,0,0,0,0,0,0,0,0,246295.5344,707724.3034,0,707724.3034,12438.33976,11336.52242,23774.86218,0,0,23774.86218,0,671.0353747,671.0353747,732170.2009,978465.7353,0,978465.7353
"Extraccion_de_petroleo,_gas,_carbon_y_uranio",2.441410882,81.45506777,58.24409411,34.33448431,0,0,0,0,0,33.93961157,3.288678913,315279.3555,0,0,0,25.46255114,0,440.0310078,0,0,0,0,0,0,0,3.237323547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.0616735,0,0,0,3191639.758,19226.12337,19595.22412,1293.736602,130.5661956,0,0,0,0,0,0,0,322.9793183,0,0,0,1010.642778,30120.048,0,543.7293392,0.863481416,39.80940066,0,0,0,0,20.68452658,0,0,0,0,0,0,0,0,0,80.64233447,0,0,0,0,89.60125647,0,0,0,521836.7028,774748.0777,3.979956338,51.25036523,0,0,0,0,1200.690035,0,3239.435151,0,0,0.725507788,0,0,0,0,0.258242519,0,346.5918326,143.1423537,302.9748909,468.4462664,0,0,0,0,0,0,49.49711273,0,4882828.032,2200242.437,0,2200242.437,54245.50411,0,54245.50411,0,0,54245.50411,386040.3615,-114028.1332,272012.2283,2526500.17,7409328.201,0,7409328.201
Extraccion_de_minerales_metaliferos,0,0,0,0,0,0,0,0,0,0,0,0,33000.91391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.89845055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443.5489898,0,0,0,0,320.0711829,0,0,0,0,4.786341816,0,0,1325.328854,0,900.0960209,0,0,458.8121201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.262195409,0.374140688,0,31.57742428,0,0,0,0,0,0,0,0,36519.66963,75621.39664,0,75621.39664,0,0,0,0,0,0,73608.38941,19357.12871,92965.51812,168586.9148,205106.5844,0,205106.5844
Extraccion_de_otros_minerales,0,772.99299,0,0,0,0,0,0,0,0,8.412926002,97799.07207,0,32064.37987,315.772688,0,717.9053955,314.4493665,0,942.2906212,0,0,1151.904983,0,0,67.79963021,0,4150.059123,820.5325748,762.8950362,0,0,1565.749926,2837.284957,0,0,0,0,0,0,119.0679493,2440.138159,0,0,0,0,0,0,21648.50564,0,4.10884693,5948.448032,221.9371385,13823.75035,1559.996821,1.538246063,878.9482971,1672.675442,1746.807255,16254.53375,55157.50614,69089.0269,53975.08117,49468.24262,12135.75768,4361.736307,15511.04034,2.005131703,210.5791023,0,3076.824445,57.71564041,1029.996951,0,0,0,0,14.03557478,62.32502452,0,0,0,0,0,160.673146,0,0,6045.540786,201.2138999,0,0,0,0,0,0,852626.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1363.071967,1249.3291,2644.254469,993.8127071,0,0,0,0,0,0.044136626,0.304286625,0,1340048.11,35591.67868,0,35591.67868,9777.193886,0,9777.193886,0,0,9777.193886,17351.16038,30059.94074,47411.10112,92779.97369,1432828.083,0,1432828.083
"Matanza_de_animales,_conservacion_y_procesamiento_de_carnes",0,0,0,0,0,882.7911854,11587.31629,0,0,0,0,0,0,0,1058681.38,1216.516927,0,0,83.92942887,0,45126.81157,69369.44168,0,3808.879628,38072.79864,2606.674561,0,0,0,0,0,0,0,0,0,41355.66346,582928.0102,0,0,0,0,0,0,0,0,0,0,0,35.81657686,0,0,0,0,22569.98943,0,0,0,0,0,0,0,27.00768321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12818.68513,479069.196,0,0,0,0,0,0,0,0,0,0,0,0,76040.98271,10055.66232,21283.79577,12935.60994,17550.05089,0,9142.492174,0,0,2.574264118,102.7232734,0,2517354.8,1135224.012,0,1135224.012,5779807.485,10.86557968,5779818.35,0,0,5779818.35,0,36922.8977,36922.8977,6951965.26,9469320.06,0,9469320.06
Elaboracion_y_conservacion_de_pescado_y_productos_de_pescado,0,0,0,0,0,0.90831449,335.4972816,0,0,0,332.1987128,0,0,0,0,12484.0302,0,0,0,0,1842.751261,1128.084045,0,0,0,286.2601242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478.7735595,9239.068507,0,0,0,0,0,0,0,0,0,0,0,0,10.92888502,933.0048004,709.6460192,48.29339141,297.8698628,0,31.04578038,0,0,0,0.017767608,0,28158.37851,329823.3373,0,329823.3373,188138.239,478.331991,188616.5709,0,0,188616.5709,0,-5061.382288,-5061.382288,513378.526,541536.9045,0,541536.9045
"Elaboracion_y_conservacion_de_frutas,_legumbres_y_hortalizas",0,0,0,0,0,0,1267.860556,0,0,0,0,0,0,0,0,208.6194105,72720.58278,0,0,207.5384599,4715.132132,4752.353619,0,2133.710128,6111.50991,11678.61507,0,416.298874,0,23524.72842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6905.742658,147997.6208,0,0,0,0,0,0,0,0,0,0,0,0,164.7055759,154.5313679,327.9518232,137.1152705,790.6324522,0,785.6599448,0,0,0.002386778,0.096115417,0,285001.0077,400495.5315,0,400495.5315,1085158.604,43603.92065,1128762.525,0,0,1128762.525,0,49458.24607,49458.24607,1578716.302,1863717.31,0,1863717.31
Aceites_y_subproductos_oleaginosos,0,0,0,0,0,4702.384774,10214.53111,0,0,0,3.96118393,0,0,0,20417.12954,2339.60053,0,232355.8873,629.4707165,155.6538449,54325.33891,78268.19755,0,3808.879628,21961.07437,984.4775135,0,173.4578642,0,1527.849404,0,23793.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.2663074,8.357719521,9670.524018,7489.836013,842.4559732,0,5722.911905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.45710631,0,0,2325.691201,45995.88279,0,0,0,0,0,0,0,0,0,0,0,0,304.6413781,551.5502196,1168.67427,56.4888391,955.9106306,0,640.6089015,0,0,0,0,0,531555.1695,4465793.555,0,4465793.555,484628.4058,21077.30975,505705.7155,0,0,505705.7155,0,-71384.00281,-71384.00281,4900115.268,5431670.437,0,5431670.437
Productos_lacteos,0,0,0,0,0,5681.884562,452.2920702,0,0,0,0,0,0,0,0,0,0,0,244761.657,0,600.5481635,54406.87217,0,34129.65958,22812.81918,6751.639355,147.195598,0,0,2807.510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16070.75337,455078.2048,0,0,0,0,0,0,0,0,0,0,0,0,17803.11854,13235.03333,35212.21855,3985.90193,9542.570151,0,4653.250183,0,0,0.539813667,21.50141619,0,928155.1704,324550.5841,0,324550.5841,2847115.903,337352.1332,3184468.036,0,0,3184468.036,0,77786.17751,77786.17751,3586804.798,4514959.968,0,4514959.968
Molienda_de_trigo_y_de_otros_cereales,0,0,0,0,0,10444.37712,1939.839175,0,0,0,0,0,0,0,0,6644.64077,45027.83534,3356.514135,33638.27359,35746.61294,2686.244408,728691.773,1959.94305,259.492513,99599.82755,4844.902493,0,1120.041432,12592.20119,54023.61464,0,0,0,0,0,0,0,0,0,0,0,7015.103599,3238.597457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2174.031618,85294.63987,0,0,0,0,0,0,0,0,0,0,0,0,788.2613265,0,0,61.70249882,356.1824054,0,614.6104413,0,0,0,0,0,1142119.263,401498.9202,0,401498.9202,386455.4624,14076.35619,400531.8186,0,0,400531.8186,0,25664.42997,25664.42997,827695.1688,1969814.431,0,1969814.431
Alimentos_balanceados,0,0,0,0,0,87334.5093,331908.0068,0,0,0,642.4258544,0,0,0,0,4567.746695,0,0,910.8479121,311.3076898,13618.81657,578.4317663,0,0,0,892.0107836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.46149763,874.7283044,0,0,0,0,0,0,0,0,0,0,0,0,3568.106501,80.35795317,170.7387414,28.02368158,30.86266726,144.8132419,12.41763676,0,0,0,0,0,445759.6136,9935.654658,0,9935.654658,120542.2214,3786.299826,124328.5212,0,0,124328.5212,0,19082.5265,19082.5265,153346.7024,599106.316,0,599106.316
Productos_de_panaderia,0,0,0,0,0,0,196.1001872,0,0,0,0,0,0,0,119.9003528,202.8347011,0,0,646.1512141,207.5384599,0,10462.5075,0,0,0,145.2893573,0,0,99.5246315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10850.18404,371454.6515,0,0,0,0,0,0,0,0,0,0,4.573390234,0,29476.62518,13168.57196,25321.4347,5383.402968,4026.266674,0,1019.036175,0,0,1.026532192,41.19463121,0,472826.8142,51172.14196,1.970088146,51174.11204,3973986.079,26456.40293,4000442.482,0,0,4000442.482,0,20541.788,20541.788,4072158.382,4544985.196,0,4544985.196
